,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
292,Chokurdakh,95,RU,1571178099,96,70.62,147.9,11.39,5.78
293,Sfantu Gheorghe,71,RO,1571178099,100,44.65,26.83,57.99,8.05
294,Shahr-e Babak,0,IR,1571178099,45,30.12,55.12,51.87,1.99
295,Catia La Mar,40,VE,1571178100,74,10.6,-67.03,84.2,3.36
296,Hirado,20,JP,1571178100,77,33.32,129.49,62.6,12.75
297,Samarinda,84,ID,1571178100,96,-0.5,117.14,73.44,1.66
298,Shache,0,CN,1571178100,37,38.42,77.24,52.43,2.35
299,Lincoln,26,GB,1571178100,93,53.23,-0.54,54.0,10.29
300,Richards Bay,100,ZA,1571178101,85,-28.77,32.06,69.12,22.78
301,Cairo,0,EG,1571178101,78,30.05,31.24,77.0,3.36
302,Kodiak,1,US,1571178101,43,39.95,-94.76,60.01,16.11
303,Kotel,0,CZ,1571178101,93,50.68,14.95,64.0,2.24
304,Dhidhdhoo,100,MV,1571178101,67,6.88,73.1,82.24,2.49
305,Jumla,1,NP,1571178101,88,29.28,82.18,40.68,3.73
306,Zaraza,62,VE,1571178102,84,9.35,-65.33,82.33,3.61
307,Anamur,75,TR,1571178102,60,36.08,32.84,68.0,4.7
308,Dengzhou,100,CN,1571178102,58,32.69,112.08,54.0,3.49
309,Miles City,1,US,1571178102,45,46.41,-105.84,48.2,4.7
310,Viedma,95,AR,1571178102,56,-40.81,-62.99,51.37,13.67
311,Bhuj,0,IN,1571178102,48,23.25,69.67,84.15,6.28
312,Alofi,75,NU,1571178103,65,-19.06,-169.92,82.4,11.41
313,Alice Springs,59,AU,1571178103,19,-23.7,133.88,80.6,1.12
314,Machala,90,EC,1571178104,78,-3.26,-79.96,89.6,4.7
315,Rio Cauto,40,CU,1571178104,74,20.56,-76.92,86.0,11.41
316,Victoria,75,BN,1571178104,94,5.28,115.24,80.01,1.12
317,Pokhara,0,NP,1571178104,83,28.21,83.99,61.66,2.75
318,Bolobo,59,CD,1571178104,94,-2.17,16.23,70.36,2.69
319,Lagoa,49,PT,1571178105,72,37.14,-8.45,60.01,4.7
320,Namatanai,100,PG,1571178105,74,-3.66,152.44,81.34,3.94
321,Severo-Kurilsk,76,RU,1571178105,79,50.68,156.12,34.86,30.28
322,Powell River,90,CA,1571178105,87,49.84,-124.52,51.8,12.75
323,Pascagoula,20,US,1571178105,70,30.37,-88.56,84.2,4.7
324,Hof,90,DE,1571178105,100,50.32,11.92,57.99,10.26
325,Hirara,75,JP,1571178106,73,24.8,125.28,77.0,13.87
326,Ormara,0,PK,1571178106,72,25.21,64.64,82.35,2.65
327,Galle,100,GN,1571178106,95,10.08,-12.83,72.32,3.44
328,Meulaboh,100,ID,1571178106,82,4.14,96.13,79.61,4.94
329,Awbari,7,LY,1571178106,35,26.59,12.77,72.99,6.05
330,Vagay,100,RU,1571178107,93,57.94,69.02,41.29,4.08
331,Birmitrapur,79,IN,1571178107,80,22.4,84.77,67.26,1.98
332,Balkanabat,0,TM,1571178107,22,39.51,54.36,63.1,13.07
333,Uyemskiy,90,RU,1571178107,93,64.47,40.85,35.6,2.24
334,Matara,8,BI,1571178107,81,-3.48,29.48,61.2,3.88
335,Kangalassy,75,RU,1571178107,73,62.35,129.97,24.8,6.71
336,Taoudenni,46,ML,1571178108,19,22.68,-3.98,92.41,10.02
337,Madang,8,CN,1571178108,84,35.32,102.79,31.87,1.39
338,Karlstad,100,SE,1571178108,100,59.38,13.5,46.4,10.29
339,Egvekinot,31,RU,1571178108,95,66.32,-179.17,23.41,14.94
340,Marin,75,AR,1571178108,71,-38.98,-67.84,51.8,13.87
341,Kajaani,66,FI,1571178109,86,64.22,27.73,33.8,5.82
342,Ondjiva,81,AO,1571178109,22,-17.07,15.73,84.24,3.6
343,Westport,1,US,1571178109,44,41.14,-73.36,63.0,6.93
344,Mataram,85,ID,1571178109,99,-5.32,105.06,69.76,2.5
345,Kondopoga,100,RU,1571178109,84,62.21,34.27,35.6,2.24
346,Salta,75,AR,1571178110,81,-24.79,-65.41,55.4,12.75
347,Oksfjord,75,NO,1571178110,88,70.24,22.35,35.6,13.87
348,Vestmannaeyjar,100,IS,1571178110,88,63.44,-20.27,48.31,35.02
349,Coihaique,90,CL,1571178110,43,-45.58,-72.07,55.4,8.05
350,Khani,0,GE,1571178111,82,41.96,42.96,59.0,11.41
351,Brae,37,GB,1571178111,93,60.4,-1.35,51.8,12.75
352,Yuxia,90,CN,1571178111,100,34.06,108.63,51.01,2.24
353,La Gomera,90,GT,1571178111,94,14.09,-91.05,77.0,16.11
354,Jamame,8,SO,1571178111,85,0.07,42.75,80.35,17.02
355,Zhezkazgan,87,KZ,1571178111,47,47.8,67.71,50.27,20.1
356,Heinola,75,FI,1571178111,93,61.2,26.03,35.6,5.82
357,Kirksville,1,US,1571178112,44,40.19,-92.58,60.8,13.87
358,Mount Isa,0,AU,1571178112,27,-20.73,139.49,87.8,5.82
359,Urucui,41,BR,1571178112,26,-7.23,-44.56,91.35,4.92
360,Laguna,75,BZ,1571178112,79,16.17,-88.94,84.2,2.89
361,Uglovskoye,73,RU,1571178112,65,51.36,80.19,46.11,13.42
362,Chapais,90,CA,1571178112,93,49.78,-74.86,39.2,13.87
363,Santa Cruz del Sur,54,CU,1571178113,67,20.71,-78.0,83.95,5.03
364,Fereydun Kenar,0,IR,1571178113,93,36.69,52.52,53.6,4.7
365,Usinsk,100,RU,1571178113,96,66.0,57.56,34.0,12.01
366,Dali,100,CN,1571178113,88,34.79,109.94,46.49,3.15
367,Oron,100,NG,1571178113,95,4.81,8.23,74.32,5.18
368,Pitea,0,SE,1571178113,92,65.32,21.48,30.0,3.36
369,Vitry-le-Francois,20,FR,1571178114,81,48.73,4.58,53.6,9.17
370,Naze,40,NG,1571178114,94,5.43,7.07,75.2,4.16
371,Venado Tuerto,100,AR,1571178114,91,-33.75,-61.97,52.0,8.01
372,Pak Phanang,100,TH,1571178114,84,8.35,100.2,77.2,3.75
373,Port Keats,6,AU,1571178114,78,-14.25,129.55,77.02,5.33
374,Ajdabiya,41,LY,1571178114,41,30.75,20.22,78.01,10.4
375,Riyadh,0,SA,1571178115,47,24.63,46.72,78.8,2.24
376,Tateyama,75,JP,1571178115,81,36.66,137.31,57.0,3.36
377,Tres Arroyos,100,AR,1571178115,53,-38.38,-60.28,54.48,9.24
378,Sao Filipe,17,CV,1571178115,87,14.9,-24.5,76.73,12.75
379,Broome,20,GB,1571178115,93,52.47,1.45,54.0,3.36
380,Kumertau,78,RU,1571178116,85,52.77,55.78,42.71,9.89
381,Tampakan,100,PH,1571178116,95,6.44,124.93,68.81,1.47
382,Nouakchott,76,MR,1571178116,78,18.08,-15.98,82.4,9.17
383,Vostok,89,RU,1571178116,64,46.45,135.83,27.61,6.23
384,Leh,0,IN,1571178116,29,34.16,77.58,30.92,1.25
385,Santiago del Estero,100,AR,1571178116,76,-27.8,-64.26,51.12,8.55
386,Indramayu,100,ID,1571178117,79,-4.05,103.78,68.92,1.57
387,Vilyuysk,100,RU,1571178117,93,63.75,121.63,27.19,7.63
388,Piet Retief,43,ZA,1571178117,82,-27.01,30.81,57.06,1.23
389,Along,0,IN,1571178117,85,28.17,94.8,61.05,4.2
390,Los Llanos de Aridane,90,ES,1571178118,64,28.66,-17.92,71.6,6.93
391,Manzhouli,87,CN,1571178118,73,49.6,117.43,33.78,3.48
392,The Pas,75,CA,1571178118,74,53.82,-101.24,39.2,6.93
393,Acapulco,75,MX,1571178118,79,16.86,-99.88,86.0,10.29
394,Imeni Poliny Osipenko,100,RU,1571178118,55,52.42,136.49,30.31,3.63
395,Missoula,1,US,1571178123,33,46.87,-114.0,57.0,3.36
396,Aksu,75,KZ,1571178124,81,52.04,76.93,46.4,15.66
397,Rapid Valley,1,US,1571178124,45,44.06,-103.15,48.99,19.46
398,Hobyo,17,SO,1571178124,74,5.35,48.53,80.06,7.39
399,Duldurga,65,RU,1571178124,49,50.67,113.59,34.54,2.78
400,Gillette,1,US,1571178125,39,44.29,-105.5,50.0,5.82
401,Mahajanga,40,MG,1571178125,78,-15.72,46.32,78.8,3.36
402,Trinidad,75,BO,1571178125,69,-14.83,-64.9,80.6,5.6
403,Changping,100,CN,1571178125,75,40.22,116.23,59.0,6.71
404,Mgandu,0,TZ,1571178126,67,-5.96,34.11,67.33,10.88
405,Turukhansk,88,RU,1571178126,97,65.8,87.96,36.46,5.54
406,Mpika,53,ZM,1571178126,57,-11.84,31.4,70.84,11.31
407,Muyezerskiy,0,RU,1571178126,95,63.93,31.65,27.32,4.87
408,Nampula,75,MZ,1571178126,83,-15.12,39.26,71.6,6.93
409,Lavrentiya,0,RU,1571178127,75,65.58,-170.99,36.34,17.86
410,Travesia,40,HN,1571178127,58,15.87,-87.9,87.8,4.7
411,Lazaro Cardenas,75,MX,1571178127,78,28.39,-105.62,71.6,8.05
412,Karratha,0,AU,1571178127,60,-20.74,116.85,76.24,5.76
413,Naryan-Mar,100,RU,1571178127,96,67.67,53.09,33.93,9.81
414,Viking,100,CA,1571178128,75,53.1,-111.78,39.99,15.99
415,Menongue,100,AO,1571178128,88,-14.66,17.68,63.63,7.92
416,Grand Gaube,20,MU,1571178128,88,-20.01,57.66,69.8,10.45
417,Fort Abbas,0,PK,1571178129,17,29.19,72.85,79.39,1.28
418,Dongsheng,100,CN,1571178129,82,29.72,112.52,55.44,14.01
419,Rovaniemi,90,FI,1571178129,100,66.5,25.72,33.8,5.82
420,Boralday,75,KZ,1571178129,86,43.36,76.86,41.0,2.24
421,Laje,20,BR,1571178129,78,-13.18,-39.42,71.67,8.64
422,Tazovskiy,100,RU,1571178130,92,67.47,78.7,27.28,22.3
423,Granard,100,IE,1571178130,93,53.78,-7.49,51.53,10.82
424,Poya,33,NC,1571178130,56,-21.35,165.16,69.73,11.59
425,Finnsnes,63,NO,1571178130,92,69.23,17.98,24.8,3.36
426,Monteagudo,90,BO,1571178130,82,-19.8,-63.96,62.6,5.16
427,Itarema,0,BR,1571178131,76,-2.92,-39.92,78.39,12.4
428,Marsa Matruh,0,EG,1571178131,82,31.35,27.25,66.2,7.69
429,Poso,100,ID,1571178131,89,-1.4,120.75,66.61,3.57
430,Skibbereen,75,IE,1571178131,87,51.55,-9.27,50.0,13.87
431,Ostrow Mazowiecka,87,PL,1571178131,71,52.8,21.9,59.76,10.57
432,Geraldton,75,CA,1571178132,70,49.72,-86.95,44.6,8.05
433,Marabba,41,SD,1571178132,45,12.35,32.18,86.04,6.7
434,Diego de Almagro,0,CL,1571178132,12,-26.39,-70.05,76.03,10.36
435,Damavand,0,IR,1571178132,39,35.72,52.07,62.6,4.7
436,Muros,90,ES,1571178133,93,42.77,-9.06,64.0,16.11
437,Bereda,40,ES,1571178133,82,43.27,-7.54,62.01,13.87
438,Manggar,100,ID,1571178133,78,-2.88,108.27,81.09,8.73
439,Aljezur,51,PT,1571178133,78,37.31,-8.8,60.01,3.0
440,Grindavik,90,IS,1571178133,81,63.84,-22.43,51.8,27.51
441,Ahuimanu,40,US,1571178134,45,21.44,-157.84,89.01,13.87
442,Comodoro Rivadavia,75,AR,1571178134,44,-45.87,-67.48,57.2,13.87
443,Bima,20,ID,1571178134,97,-8.45,118.73,67.44,0.53
444,Charyshskoye,84,RU,1571178134,85,51.4,83.56,39.96,8.09
445,Andros Town,75,BS,1571178135,69,24.73,-77.79,82.4,9.17
446,Lata,0,IN,1571178135,74,30.78,78.62,27.19,2.26
447,Fort Nelson,90,CA,1571178135,97,58.81,-122.69,37.4,4.7
448,Zafra,96,ES,1571178135,63,38.43,-6.42,55.99,5.99
449,Chalchihuites,16,MX,1571178135,38,23.48,-103.88,74.53,1.63
450,Junin,26,PE,1571178136,20,-16.45,-71.58,64.4,13.87
451,Cootehill,100,GB,1571178136,87,54.07,-7.08,55.99,8.99
452,Aquiraz,40,BR,1571178136,74,-3.9,-38.39,80.6,9.17
453,Porbandar,0,IN,1571178136,66,21.64,69.61,84.99,9.29
454,Bud,72,NO,1571178137,75,62.91,6.91,48.2,14.99
455,Kimbe,83,PG,1571178137,91,-5.56,150.15,75.6,3.01
456,Mount Gambier,90,AU,1571178137,100,-37.83,140.78,50.0,5.82
457,Road Town,40,VG,1571178137,94,18.42,-64.62,82.99,8.05
458,Kulu,56,CD,1571178137,99,3.47,23.69,70.25,2.7
459,Sayyan,1,YE,1571178137,35,15.17,44.32,58.23,16.15
460,Mutare,0,MZ,1571178138,82,-18.97,32.67,62.11,5.44
461,Bintulu,75,MY,1571178138,94,3.17,113.03,75.0,4.7
462,Ko Samui,20,TH,1571178138,83,9.54,99.94,82.4,7.12
463,Brylivka,0,UA,1571178138,56,46.42,33.15,56.03,4.28
464,Luau,67,CD,1571178139,92,-10.7,22.23,68.77,4.4
465,Macia,62,MZ,1571178139,84,-25.03,33.09,68.54,5.21
466,Bam,0,IR,1571178139,24,29.11,58.36,67.1,5.5
467,Tambovka,0,RU,1571178139,51,47.32,47.38,58.57,7.58
468,Joao Pinheiro,0,BR,1571178139,22,-17.74,-46.17,87.62,9.52
469,Hayden,1,US,1571178140,50,47.77,-116.79,61.0,6.93
470,Kirakira,100,SB,1571178140,77,-10.46,161.92,76.3,8.26
471,Arona,100,IT,1571178140,100,45.76,8.56,57.99,9.17
472,Pangody,100,RU,1571178140,94,65.85,74.49,36.9,18.79
473,Port Said,0,EG,1571178140,31,25.34,30.55,78.91,8.83
474,Ketchikan,90,US,1571178141,87,55.34,-131.65,51.8,29.97
475,Beringovskiy,100,RU,1571178141,90,63.05,179.32,40.19,36.54
476,Okakarara,62,NA,1571178141,16,-20.59,17.46,74.39,5.47
477,Inongo,33,CD,1571178141,95,-1.93,18.29,71.06,2.14
478,Khilok,67,RU,1571178142,58,51.36,110.46,29.79,2.95
479,Farah,0,AF,1571178142,37,32.37,62.11,53.6,4.72
480,Diapaga,55,BF,1571178142,72,12.07,1.79,80.08,6.59
481,Manadhoo,100,MV,1571178142,70,5.77,73.38,82.11,1.42
482,Mwinilunga,70,ZM,1571178142,58,-11.73,24.43,70.72,2.15
483,Wagar,100,US,1571178143,94,31.44,-87.99,73.0,1.01
484,Tessalit,0,ML,1571178143,15,20.2,1.01,89.49,11.52
485,Cap-aux-Meules,75,CA,1571178143,93,47.38,-61.86,50.0,10.29
486,Strezhevoy,90,RU,1571178143,100,60.73,77.6,39.2,8.95
487,Urengoy,100,RU,1571178143,96,65.96,78.37,39.42,5.78
488,Vila,34,IT,1571178143,100,45.18,8.4,60.01,9.17
489,Hambantota,75,LK,1571178144,100,6.12,81.12,75.2,5.82
490,Foumban,100,CM,1571178144,96,5.73,10.9,67.44,2.59
491,Biak,44,ID,1571178144,81,-0.91,122.88,80.31,9.23
492,Codrington,0,AU,1571178145,73,-28.95,153.24,75.2,3.36
493,Kyren,1,RU,1571178145,45,51.68,102.13,31.08,7.67
494,Elliot,1,ZA,1571178145,86,-31.33,27.85,52.16,5.31
495,Ratchaburi,100,TH,1571178145,96,13.54,99.82,74.41,6.8
496,Sulangan,29,PH,1571178145,79,11.14,123.72,82.36,14.38
497,Whitecourt,90,CA,1571178145,86,54.14,-115.68,37.4,8.05
498,Belyy Yar,61,RU,1571178146,75,53.6,91.39,41.0,4.47
499,Ambatondrazaka,68,MG,1571178146,95,-17.82,48.43,59.67,1.46
500,Touros,20,BR,1571178146,78,-5.2,-35.46,77.0,9.17
501,Ixtapa,75,MX,1571178146,62,20.71,-105.21,91.0,4.7
502,Buchanan,40,LR,1571178146,94,5.88,-10.05,78.8,3.27
503,Suar,0,IN,1571178147,75,29.03,79.05,69.94,4.21
504,Teahupoo,40,PF,1571178147,66,-17.83,-149.27,86.0,6.93
505,Kapiri Mposhi,0,ZM,1571178147,44,-13.97,28.68,71.4,8.95
506,Tornio,75,FI,1571178147,93,61.12,27.27,35.6,5.82
507,Huilong,100,CN,1571178147,93,31.15,106.5,58.96,3.48
508,Verkhnyaya Inta,100,RU,1571178148,97,65.99,60.32,30.51,10.31
509,Rome,40,IT,1571178148,93,41.89,12.48,66.2,2.24
510,Saint-Francois,0,FR,1571178148,87,46.42,3.91,48.2,4.7
511,Belaya Gora,97,RU,1571178149,96,68.54,146.19,16.59,4.72
512,Aklavik,90,CA,1571178149,85,68.22,-135.01,19.4,10.29
513,Kaitangata,100,NZ,1571178149,77,-46.28,169.85,54.0,1.99
514,Mollendo,77,PE,1571178149,79,-17.03,-72.02,61.93,6.53
515,Danielskuil,0,ZA,1571178149,26,-28.19,23.54,62.67,5.1
516,San Pedro,100,AR,1571178150,92,-33.68,-59.66,52.0,5.01
517,Chuy,100,UY,1571178150,75,-33.69,-53.46,56.89,13.04
518,Batsfjord,75,NO,1571178150,100,70.63,29.72,30.2,4.7
519,Hatillo,40,PR,1571178150,74,18.49,-66.83,82.99,7.53
520,Arteaga,5,MX,1571178151,27,25.45,-100.85,89.6,9.17
521,Weihe,35,CN,1571178151,93,32.99,105.33,43.45,5.25
522,Constitucion,40,MX,1571178151,19,23.99,-104.67,80.6,4.7
523,Hay River,90,CA,1571178151,69,60.82,-115.79,37.4,10.29
524,Bone,53,DE,1571178151,93,51.97,12.14,57.0,6.93
525,Leshukonskoye,1,RU,1571178152,94,64.9,45.76,30.69,5.77
526,San Felipe,100,CL,1571178152,82,-32.75,-70.73,73.0,3.0
527,Tutoia,14,BR,1571178152,79,-2.76,-42.27,77.7,8.82
528,Santa Isabel do Rio Negro,100,BR,1571178152,91,-0.41,-65.02,79.48,1.54
529,Ancud,90,CL,1571178153,87,-41.87,-73.83,51.8,6.02
530,Porto Novo,40,BR,1571178153,68,-23.68,-45.44,71.6,4.7
531,Puerto Maldonado,96,PE,1571178153,46,-12.59,-69.19,88.84,1.55
532,Saint-Georges,0,CA,1571178153,60,46.12,-70.67,48.0,6.62
533,Zavyalovo,91,RU,1571178153,93,54.51,82.45,44.6,13.42
534,Matagami,100,NG,1571178154,94,9.67,8.4,69.17,1.79
535,Kijang,0,KR,1571178154,87,35.24,129.21,50.0,3.36
536,Port Macquarie,3,AU,1571178154,72,-31.43,152.91,75.99,4.7
537,Shwebo,100,MM,1571178154,91,22.57,95.7,71.24,4.24
538,Birjand,0,IR,1571178155,26,32.86,59.22,48.2,6.93
539,Rawson,64,AR,1571178155,72,-43.3,-65.11,50.22,21.5
540,Rosh Pinna,0,IL,1571178155,75,32.97,35.54,80.01,2.92
541,Portland,20,US,1571178155,54,43.66,-70.25,55.4,9.17
542,Kuryk,15,KZ,1571178155,70,43.18,51.68,63.64,13.48
543,Beloha,0,MG,1571178156,76,-25.17,45.06,68.09,18.36
544,Phetchaburi,100,TH,1571178156,93,13.1,99.94,75.4,10.48
545,Deputatskiy,99,RU,1571178156,91,69.3,139.9,4.44,5.01
546,Qasigiannguit,75,GL,1571178156,41,68.82,-51.19,21.2,11.41
547,Chambas,40,CU,1571178156,74,22.19,-78.91,84.2,12.75
548,Alaca,43,TR,1571178156,33,40.17,34.84,60.82,2.48
549,Samana,90,EC,1571178157,94,0.12,-76.97,80.6,6.93
550,Kutoarjo,100,ID,1571178178,91,-7.72,109.9,67.87,1.91
551,Llanes,100,ES,1571178178,67,43.42,-4.75,63.0,13.95
552,Kalnibolotskaya,0,RU,1571178179,43,46.01,40.45,64.0,5.7
553,Cortes,31,PH,1571178179,78,9.28,126.19,80.78,3.7
554,Greenfield,1,US,1571178179,47,42.59,-72.6,57.0,3.36
555,Livny,100,RU,1571178179,76,52.43,37.61,51.6,7.82
556,Dickinson,90,US,1571178180,65,46.88,-102.79,44.01,13.87
557,Kolda,20,SN,1571178180,88,12.89,-14.94,77.0,4.7
558,Wamba,100,CD,1571178180,99,2.14,27.99,67.14,1.93
559,Ilulissat,75,GL,1571178180,41,69.22,-51.1,21.2,11.41
560,Wewak,100,PG,1571178181,89,-3.55,143.63,76.08,3.79
561,Vieira de Leiria,94,PT,1571178181,82,39.87,-8.94,62.01,5.82
562,Barmer,24,IN,1571178181,35,25.74,71.4,88.54,7.92
563,Tiarei,40,PF,1571178181,66,-17.53,-149.33,86.0,6.93
564,Sola,96,TZ,1571178182,42,-3.17,33.8,76.14,8.97
565,Fort-Shevchenko,44,KZ,1571178182,76,44.51,50.26,58.91,9.55
566,Liwonde,2,MW,1571178182,49,-15.05,35.2,75.88,7.2
567,Virginia Beach,75,US,1571178182,82,36.85,-75.98,70.0,8.05
568,Tuatapere,100,NZ,1571178182,80,-46.13,167.69,54.0,1.01
569,Palembang,14,ID,1571178183,93,-2.99,104.76,73.08,2.26
570,Obo,100,CF,1571178183,93,5.39,26.49,70.36,2.2
571,Zinder,100,NE,1571178183,51,13.81,8.99,84.2,2.24
572,Panzhihua,100,CN,1571178183,83,26.59,101.72,59.92,1.34
573,Baft,0,IR,1571178183,39,29.23,56.61,56.05,3.85
574,Gimli,85,CA,1571178184,89,50.63,-96.99,39.99,8.99
575,Bulgan,0,MN,1571178184,36,48.81,103.53,32.27,3.08
576,Healesville,90,AU,1571178184,82,-37.65,145.52,57.99,4.7
577,Komsomolskiy,97,RU,1571178184,81,67.55,63.78,26.67,19.61
578,Praia,0,BR,1571178185,26,-20.25,-43.81,84.0,10.29
579,Moquegua,13,PE,1571178185,26,-17.19,-70.93,66.52,9.55
580,Colares,0,PT,1571178185,82,38.8,-9.45,61.0,6.93
581,Zhangjiakou,100,CN,1571178185,22,40.77,114.88,39.02,3.34
582,Lindon,1,US,1571178186,9,40.34,-111.72,71.6,5.56
